Item,Price,Image
Chicken Biryani,₹80,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
Desi Veg Combo,₹50,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
Thattukada Combo,₹60,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
Parantha Combo,₹40,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
Chicken Manchurian,₹80,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
Gobi Manchurian,₹60,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
Chicken Fried Rice,₹70,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
Egg Fried Rice,₹60,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
Veg Fried Rice,₹50,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
Mango Fried Rice,₹60,https://drive.google.com/file/d/13GFIHS8RbpHVScoCRA0fgoJS5p7VaakE/view?usp=sharing
